?fade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
127;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0
128;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1
129;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1
130;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
131;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
132;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1
133;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1
134;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1
135;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0
136;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1
137;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
138;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1
139;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1
140;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1
141;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0
143;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1
145;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
146;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0
147;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1
150;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
151;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
152;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
154;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
155;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
156;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1
157;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1
158;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0
159;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
160;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0
161;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1
162;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
163;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1
164;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
165;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
166;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
167;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1
168;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0
169;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0
171;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
172;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
173;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
174;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
176;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
177;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0
178;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
181;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1
182;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0
183;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
186;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
187;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
188;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
189;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1
190;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
191;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1
192;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1
193;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
194;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1
195;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1
196;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1
197;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0
198;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
199;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1
200;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0
201;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1
202;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
203;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1
204;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
205;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
206;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
207;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1
208;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
209;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
210;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1
212;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1
213;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0
214;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
215;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0
216;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0
217;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0
218;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
219;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0
220;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1
221;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1
222;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1
223;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1
224;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
225;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
226;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
227;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0
228;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1
230;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
231;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
232;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
233;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1
234;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1
235;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1
236;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
238;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0
240;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
241;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1
242;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
243;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1
244;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1
245;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
246;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0
247;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1
248;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1
249;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
250;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1
251;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0
252;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
253;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0
254;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0
